#data for Figs. 3(b) and 3(c)
#Parameters: J_perp = 5t, J_parallel = 0.

#tau: evolution time

#Delta_rms: root-mean-square of Delta = (x1 - x2)/2
#Delta_std: standard error on Delta_rms estimated from sampling 

#X_rms: root-mean-square of X = (x1 + x2)/2
#X_std: standard error on X_rms estimated from sampling

#corr(x1,x2): correlation coefficient of x1, x2. 
#std on corr(x1,x2) estimated from sampling.

J_perp 	J_par 	Delta_rms 	Delta_std  X_rms 	X_std  	corr(x1,x2) 	std on corr(x1,x2)

16 	 0 	 0.670282 	 0.00370588 	 13.0495 	 0.0769986 	 0.9947 	 9.67406e-05
14 	 0 	 0.819631 	 0.00251054 	 13.1251 	 0.0796812 	 0.992161 	 0.000130114
12 	 0 	 1.04231 	 0.00618856 	 13.2334 	 0.0598661 	 0.987524 	 0.000159973
10 	 0 	 1.35213 	 0.0062881 	 13.4452 	 0.0881188 	 0.979791 	 0.000292928
9 	 0 	 1.51186 	 0.00391259 	 13.6186 	 0.10182 	 0.975466 	 0.00040226
8 	 0 	 1.6975 	 0.00326603 	 13.8464 	 0.110055 	 0.970202 	 0.000341934
7 	 0 	 1.93452 	 0.00452153 	 14.4682 	 0.0901167 	 0.9647 	 0.000406519
6 	 0 	 2.30858 	 0.00445804 	 14.9606 	 0.0950163 	 0.95322 	 0.000500709
5 	 0 	 2.90563 	 0.00953258 	 16.3362 	 0.105489 	 0.938471 	 0.000427185
4 	 0 	 3.79367 	 0.0129124 	 18.4757 	 0.185655 	 0.918999 	 0.00106907
3 	 0 	 5.64357 	 0.0283965 	 23.2247 	 0.434373 	 0.8884 	 0.0029514
2 	 0 	 9.83308 	 0.062125 	 32.0661 	 0.694633 	 0.828026 	 0.00490368
1.5 	 0 	 14.4135 	 0.0902977 	 37.4595 	 0.634801 	 0.742073 	 0.00485253
1 	 0 	 22.4913 	 0.136597 	 41.0668 	 0.382332 	 0.538521 	 0.00233043
0.8 	 0 	 26.825 	 0.159076 	 41.4806 	 0.273165 	 0.410224 	 0.00059805
0.6 	 0 	 31.3675 	 0.160841 	 41.3046 	 0.201637 	 0.268497 	 0.000306533
0.4 	 0 	 35.4133 	 0.136762 	 40.8491 	 0.157236 	 0.141861 	 0.000157857
0.2 	 0 	 38.5008 	 0.0753636 	 40.5914 	 0.119006 	 0.0528314 	 0.00106514


80 	 80 	 0.101893 	 0.000829074 	 0.809724 	 0.0128444 	 0.965424 	 0.00106384
60 	 60 	 0.136604 	 0.000882042 	 0.816312 	 0.0111706 	 0.939697 	 0.00225002
40 	 40 	 0.207531 	 0.00104272 	 0.857198 	 0.0154859 	 0.882089 	 0.0043834
16 	 16 	 0.544995 	 0.000927881 	 1.20913 	 0.0130412 	 0.64688 	 0.00581861
14 	 14 	 0.657925 	 0.00212199 	 1.29716 	 0.0105569 	 0.580049 	 0.00374024
12 	 12 	 0.841572 	 0.00161662 	 1.46985 	 0.0140453 	 0.501392 	 0.00536595
10 	 10 	 1.06383 	 0.00711456 	 1.72349 	 0.0115133 	 0.446562 	 0.00752298
8 	 8 	 1.37373 	 0.00452773 	 2.2836 	 0.0123237 	 0.466089 	 0.00416658
7 	 7 	 1.57059 	 0.0102275 	 2.68486 	 0.0122988 	 0.484359 	 0.00575302
6 	 6 	 1.82479 	 0.00550178 	 3.32144 	 0.0103519 	 0.531962 	 0.00182239
5 	 5 	 2.2709 	 0.00799549 	 4.49324 	 0.0336471 	 0.591159 	 0.0030432
4 	 4 	 2.9907 	 0.00950215 	 6.5422 	 0.0635475 	 0.653644 	 0.00480885
3 	 3 	 4.40105 	 0.0109901 	 10.9945 	 0.178723 	 0.723345 	 0.0067728
2 	 2 	 7.98103 	 0.0577357 	 21.7882 	 0.661264 	 0.763091 	 0.00983064
1.5 	 1.5 	 12.2378 	 0.0835784 	 30.8782 	 0.878379 	 0.72817 	 0.0103232
1 	 1 	 20.4579 	 0.154213 	 38.8116 	 0.593823 	 0.565096 	 0.00535781
0.8 	 0.8 	 25.1674 	 0.18963 	 40.3846 	 0.384153 	 0.440545 	 0.00171014
0.6 	 0.6 	 30.3241 	 0.206352 	 40.8029 	 0.244978 	 0.288451 	 0.000776288
0.2 	 0.2 	 38.4243 	 0.0990205 	 40.4522 	 0.121692 	 0.0513876 	 0.000468746
